nct_id,title,status,phase,enrollment_target,enrollment_type,n_sites,states,sex,min_age,max_age,conditions,eligibility_snippet
NCT05006976,A Naturalistic Trial of Nudging Clinicians in the Norwegian Sickness Absence Clinic. The NSAC Nudge Study,ACTIVE_NOT_RECRUITING,NA,1180,ACTUAL,5,"Nordland, Troms Og Finnmark",ALL,23 Years,No upper limit,"Musculoskeletal Disorder, Anxiety Disorders, Depression, Fatigue, Pain, Occupational Exposure, Work Related Stress, Workplace Bullying, Employment, Sickness Absence, Return to Work","Inclusion Criteria: For the study, the single inclusion criteria is that the patient is offered a consultation or treatm..."
NCT05591937,S.T.A.N.D. Alacrity Center Signature Project,RECRUITING,NA,1000,ESTIMATED,1,California,ALL,18 Years,40 Years,"Depression, Anxiety",Inclusion Criteria: Currently enrolled in the East Los Angeles College Either uninsured or covered by California Medicai...
NCT06619366,The Impact of Coach-guided Risk Communication on the Risk of Major Depression,RECRUITING,NA,1000,ESTIMATED,1,Nova Scotia,ALL,18 Years,65 Years,"Major Depressive Episode, Risk Reduction, Self Efficacy","Inclusion Criteria: no MDE at baseline, or full remission for 2 months for those who had a past MDE (see below the quest..."
NCT05142384,ICBT (Internet Based Cognitive Behavioral Therapy) for Maternal Depression: Community Implementation in Head Start,RECRUITING,NA,960,ESTIMATED,1,Oregon,ALL,2 Years,No upper limit,Depression,"Inclusion Criteria: Mothers Elevated symptoms of depression (i.e., Patient Health Questionnaire or Edinburgh Postnatal D..."
NCT07807865,A Study to Asses Safety and Tolerability of ITI-1284 Given Alone or as an Additional Treatment in Participants With Generalized Anxiety Disorder (GAD),RECRUITING,PHASE3,900,ESTIMATED,1,California,ALL,18 Years,No upper limit,Generalized Anxiety Disorder,Inclusion criteria for Roll-over participants: Provide written informed consent before the initiation of any study speci...
NCT03810599,Patient-reported Outcomes in the Bergen Early Cardiac Rehabilitation Study,ACTIVE_NOT_RECRUITING,NA,870,ESTIMATED,1,No US/listed site,ALL,18 Years,No upper limit,Coronary Artery Disease,Inclusion Criteria: Diagnosis of coronary artery disease >=18 years of age Has performed a negative exercise test (bike ...
NCT06966401,Long-Term Study to Assess the Safety and Tolerability of NBI-1065845 as an Adjunctive Treatment in Participants With Major Depressive Disorder (MDD),RECRUITING,PHASE3,850,ESTIMATED,106,"Alabama, Arkansas, California, Connecticut, Florida, Georgia, Hampshire, Lativa, Maryland, Massachusetts, Missouri, New York, Ohio, Oklahoma, Ontario, Pennsylvania, South Yorkshire, Texas, Washington",ALL,18 Years,No upper limit,Major Depressive Disorder,Key Inclusion Criteria: Participant has a primary diagnosis of recurrent MDD (moderate or severe) or persistent depressi...
NCT06076317,Relevance of a Telemedicine Monitoring in the Management of Depression,RECRUITING,NA,836,ESTIMATED,1,No US/listed site,ALL,18 Years,No upper limit,Major Depressive Disorder,Inclusion Criteria: Age ≥ 18 years Presence of DSM5 criteria for the diagnosis of a characterized depressive episode Pat...
NCT04057378,Optimal Electrical Stimulus During Electroconvulsive Therapy,RECRUITING,PHASE4,800,ESTIMATED,1,No US/listed site,ALL,18 Years,No upper limit,"Depressive Disorder, Major, Depression, Bipolar","Inclusion Criteria: At least 18 years old at the time of inclusion Fulfilled diagnostic criteria for unipolar, or bipola..."
NCT05520983,BEhavioral Health Stratified Treatment (BEST) Study for Youth With Intellectual and/or Developmental Disabilities (IDD),ENROLLING_BY_INVITATION,NA,780,ESTIMATED,1,Illinois,ALL,13 Years,20 Years,"Depression, Anxiety, Transition","Inclusion Criteria: A) Youth ages 13 through 20 years, B) who have an I/DD (caregiver/self-report), and C) are enrolled ..."
NCT05772897,Parenting Skills Group for Mothers With Postpartum Depression,RECRUITING,NA,750,ESTIMATED,1,Colorado,FEMALE,18 Years,50 Years,Postpartum Depression,Inclusion Criteria: Mothers aged 18-50 years old with infants aged 3-14 months old Mothers who are experiencing symptoms...
NCT04845230,Fresh RX: NHS 2020,RECRUITING,NA,750,ESTIMATED,1,Missouri,FEMALE,14 Years,55 Years,"Premature Birth, Birth Weight, Post Partum Depression, Health Care Utilization, Nutrition Deficiency Due to Insufficient Food, Housing Problems, Fetal Complications, Food Deprivation",Inclusion Criteria: Female Pregnant Less than 24 weeks gestation Screening positive to a USDA two-item food insecurity s...
NCT05345834,The DC Mother-Infant Behavioral Wellness Program,ACTIVE_NOT_RECRUITING,NA,700,ESTIMATED,1,District of Columbia,FEMALE,18 Years,45 Years,"Perinatal Depression, Perinatal Anxiety, Prenatal Stress",Inclusion Criteria: Black/of African Descent Pregnant (gestational weeks ≤ 28 weeks) Age 18-45 English proficient Receiv...
NCT06874790,RCT for Latina Mental Health Using Web-Based Apps,RECRUITING,NA,700,ESTIMATED,1,California,FEMALE,18 Years,No upper limit,"Mental Health, Anxiety, Depression, Well-Being, Psychological",Inclusion Criteria: Latina (women who are from or have family ties to Latin America) Currently resides in LA or Orange C...
NCT07278466,The COMParing App Support Strategies Study,RECRUITING,NA,688,ESTIMATED,1,Wisconsin,ALL,18 Years,65 Years,"Depression, Anxiety","Inclusion Criteria: Elevated symptoms of depression and/or anxiety (PHQ-9 greater than or equal to 10, GAD-7 greater tha..."
NCT07227337,"Being Safe, Healthy, And Positively Empowered (BSHAPE) Intervention Study",RECRUITING,NA,676,ESTIMATED,1,Maryland,FEMALE,18 Years,No upper limit,"Post Traumatic Stress Disorder, Depression, Violence",Inclusion Criteria: age 18 or older foreign-born immigrant woman self-reported history of cumulative exposure to violenc...
NCT06722781,Trial of an Online Group Psychotherapy Intervention for Common Mental Health Disorders,RECRUITING,NA,660,ESTIMATED,2,South Yorkshire,ALL,17 Years,No upper limit,"Common Mental Health Problems, Anxiety, Depression Disorders","Inclusion Criteria: 17 years old and over Literate and fluent in the English language, which would enable group interact..."
NCT04290754,PATH 2 Purpose: Primary Care and Community-Based Prevention of Mental Disorders in Adolescents,ACTIVE_NOT_RECRUITING,NA,636,ACTUAL,1,Illinois,ALL,13 Years,19 Years,Depression,"Inclusion Criteria: Adolescents ages 13 through 19 years, and Adolescent must be experiencing an elevated level of depre..."
NCT02345122,CAMH PARTNERs Integrated Care Study,ACTIVE_NOT_RECRUITING,NA,635,ACTUAL,1,Ontario,ALL,18 Years,No upper limit,"Depression, Anxiety, Alcohol Drinking",Inclusion Criteria: 1. Age 18 and older 2. Receiving care from a Primary Care Provider at one of the participating healt...
NCT07557550,"Comparison of Two Relaxation Strategies Between Glasses, Virtual Reality Headset, and Without Relaxation Tool, in the Anxiety Preoperative of Orthopedic Adult Patients",RECRUITING,NA,632,ESTIMATED,1,Picardie,ALL,18 Years,No upper limit,"Relaxation, Virtual Reality, Anxiety Preoperative",Inclusion Criteria: Patient treated at the UAC D0 Orthopedic patient (arthroplasty mainly) Anesthesic procedure with gen...
NCT07031817,Validation of a Composite Medical Device Using a Blood Biomarker-based Algorithm and MDQ for the Diagnosis of Bipolar Disorder,RECRUITING,NA,623,ESTIMATED,1,No US/listed site,ALL,18 Years,65 Years,"Bipolar Disorder (BD), Major Depressive Episode (MDE), Primary Care, Major Depression","Inclusion Criteria : Cis man, cis woman, trans man, trans woman or non-binary, Aged 18 to 65 years old, Meets the DSM-5 ..."
NCT05538910,Defining Neurobiological Links Between Substance Use and Mental Illness,RECRUITING,NA,620,ESTIMATED,1,Maryland,ALL,18 Years,60 Years,"Major Depressive Disorder, Substance Use Disorder, Normal Physiology","INCLUSION CRITERIA: To be eligible for this study, an individual must meet all the following criteria assessed under the..."
NCT07310004,Virtual Reality vs. Music Relaxation for Reducing Anxiety and Pain During Breast Biopsies,RECRUITING,NA,600,ESTIMATED,1,California,FEMALE,18 Years,No upper limit,"Breast Biopsy, Anxiety, Pain",Inclusion Criteria: Females aged 18 years or older. Scheduled for an ultrasound-guided or stereotactic breast biopsy. Ca...
NCT06383221,"A Randomized Controlled Trial of the ""Psychological Training Camp & Obstetrician-Led Psychoprenatal Intervention (PICONI)"" Stepwise Intervention Model for Depression and Anxiety During Pregnancy.",ENROLLING_BY_INVITATION,NA,600,ESTIMATED,1,No US/listed site,FEMALE,18 Years,No upper limit,"Perinatal Depression, Stepped Care, Perinatal Anxiety","Inclusion Criteria: Pregnant women; Informed consent, able to complete the questionnaire independently; Positive first d..."
NCT04984512,The Efficacy And Safety Of Mitizodone Phosphate Tablets In The Treatment of Patient With Major Depressive Disorder,RECRUITING,"PHASE2, PHASE3",600,ESTIMATED,1,Guangdong,ALL,18 Years,65 Years,"Depressive Disorder, Major",Inclusion Criteria: 1.a Man or a woman with major depressive disorder(MDD) as the primary diagnosis according to the Dia...
NCT07774481,Anxiety Skills Study,RECRUITING,NA,600,ESTIMATED,1,Ohio,ALL,18 Years,No upper limit,"Anxiety, Anxiety Acute, Anxiety Chronic, Anxiety and Mood Disorders, Social Anxiety Disorder, Panic Disorder (With or Without Agoraphobia), Generalized Anxiety Disorder, Obsessive-Compulsive Disorder, Specific Phobia",Inclusion Criteria: Presence of clinically elevated anxiety Living in Ohio Exclusion Criteria: No access to a smartphone...
NCT06526078,Cognitive Training as an Adjunct to Ketamine in Real-world Clinics,RECRUITING,NA,600,ESTIMATED,3,"California, Illinois, Texas",ALL,18 Years,80 Years,Depression,Inclusion Criteria: 1. be between the ages of 18 and 80 years 2. score ≥20 on the Montgomery-Asberg Depression Rating Sc...
NCT05800509,Gestational Diabetes and Perinatal Depression: an Intervention Program,RECRUITING,NA,600,ESTIMATED,1,No US/listed site,ALL,20 Years,No upper limit,"Gestational Diabetes Mellitus, Postpartum Depression, Perinatal Depression",Inclusion Criteria: 1. The diagnosis of gestational diabetes mellitus. 2. No any history of disease before the pregnancy...
NCT07295652,Characterization of High-Level Cognitive Impairments in Patients With Neuropsychiatric Disorders,RECRUITING,NA,600,ESTIMATED,3,No US/listed site,ALL,18 Years,No upper limit,"Neurologic Disorders, Schizophrenia, Bipolar Disorder (BD), Depressive Disorder",Inclusion Criteria: For patients: Aged over 18 years Diagnosed with a psychiatric disorder according to ICD-10 by a psyc...
NCT06729541,Development and Application of Precision Treatment Strategies for Common Mental Disorders,RECRUITING,NA,600,ESTIMATED,1,Beijing Municipality,ALL,18 Years,65 Years,"Depression - Major Depressive Disorder, Schizophrenia Disorders, Bipolar Disorder (BD)","Inclusion Criteria: Schizophrenia: (1) Age 18-65 years, no gender restriction, Han ethnicity; (2) Diagnosis confirmed us..."
NCT07066631,The Pregnancy and Postpartum Mental Health Optimization Virtual Intervention Network,RECRUITING,NA,570,ESTIMATED,2,Ontario,FEMALE,18 Years,No upper limit,"Depression, Postpartum, Anxiety, Pregnancy",Inclusion Criteria: 1. Adult (age 18 years or older) 2. Pregnant or postpartum and living with their infant 0-6 months o...
NCT06942429,Stepped Versus Stratified Care for Anxiety Disorders in Youth,RECRUITING,NA,556,ESTIMATED,1,No US/listed site,ALL,8 Years,17 Years,"Social Anxiety Disorder, Separation Anxiety Disorder, Specific Phobia, Panic Disorder, Generalized Anxiety Disorder, Agoraphobia",Inclusion Criteria: 1. Aged 8.0 to 17.5 years. Confirmed by the child and/or caregiver. 2. Principal DSM-5-TR anxiety di...
NCT06887244,"Effectiveness of Nurse Tele-consultation on the Quality of Elective Colonoscopy, Procedure-related Anxiety, and Financial Toxicity",RECRUITING,NA,534,ESTIMATED,1,No US/listed site,ALL,18 Years,80 Years,"Patient Satisfaction and Efficacy of Bowel-preparation, Colon Cancer Prevention",Inclusion Criteria: Subjects eligible for outpatient pancolonoscopy: for diagnostic purposes; for screening purposes; fo...
NCT07484217,Clinical Assessment of Response in the Treatment of Depression With Daytime Sleepiness Using Solriamfetol,RECRUITING,PHASE3,508,ESTIMATED,40,"Arizona, California, Florida, Georgia, Illinois, Maryland, Massachusetts, Nevada, New Jersey, New York, Ohio, Oklahoma, Oregon, Tennessee, Texas",ALL,18 Years,65 Years,Major Depressive Disorder With Excessive Daytime Sleepiness Symptoms,"Inclusion Criteria: Currently meets the DSM-5 criteria for MDD without psychotic features, based on the SCID-5-CT Excess..."
NCT06569303,Filipino Family Health Initiative 1.0,RECRUITING,NA,500,ESTIMATED,1,California,ALL,8 Years,No upper limit,"Depression, Anxiety, Parenting",Inclusion Criteria: Parent or legal guardian of at least one child 8-12 years of age Parent or legal guardian is of Fili...
NCT04099056,Brain Stimulation and Decision-making,RECRUITING,NA,500,ESTIMATED,1,Georgia,ALL,18 Years,50 Years,Depression,Inclusion Criteria: Provides written informed consent Fluent English speaker Absence of current drug use as assessed by ...
NCT07299903,IMB-Based Sleep Hygiene Education for Menopausal Women: Effects on Sleep Quality and Depression,RECRUITING,NA,500,ESTIMATED,1,No US/listed site,FEMALE,45 Years,60 Years,"Insomnia, Depressive Symptoms",Inclusion Criteria: Being in menopause Being between 40 and 60 years of age Having a low sleep quality score according t...
NCT06830044,Evaluation of Efficacy and Safety of Milsaperidone as Adjunctive Therapy in Patients With Major Depressive Disorder,RECRUITING,PHASE3,500,ESTIMATED,38,"Arizona, Arkansas, California, Colorado, Florida, Illinois, Missouri, Nevada, New York, Pennsylvania, Texas, Washington",ALL,18 Years,65 Years,Major Depressive Disorder (MDD),"Inclusion Criteria: Male or female patient 18 to 65 years of age, inclusive; Meets DSM-5-TR criteria for MDD Currently h..."
NCT05772104,Clinical Trial of Shugan Jieyu Capsule in Generalized Anxiety Disorder,RECRUITING,PHASE3,495,ESTIMATED,1,No US/listed site,ALL,18 Years,65 Years,Generalized Anxiety Disorder,Inclusion Criteria: 1. Primary diagnosis of generalized anxiety disorder (GAD) as per Diagnostic and Statistical Manual ...
NCT06138730,Evaluating a Virtual Mentoring Program Plus Mental Health Videos for Teens,ACTIVE_NOT_RECRUITING,NA,475,ESTIMATED,1,California,ALL,13 Years,18 Years,"Depressive Symptoms, Anxiety Disorders and Symptoms",Inclusion Criteria (Youth): 13 to 18 years old Generalized Anxiety Disorder screen or Patient Health Questionnaire scree...
NCT06375083,Computerized Cognitive Behavioral Therapies for Suicide Prevention and Depression,RECRUITING,PHASE2,472,ESTIMATED,1,Colorado,ALL,18 Years,65 Years,"Suicide, Depression",Cohort A - cCBT-SP Program Inclusion Criteria: 1. Veterans between the ages of 18 and 65 2. Currently living in Colorado...
NCT04598230,Partners in Caring for Anxious Youth,ACTIVE_NOT_RECRUITING,PHASE3,468,ESTIMATED,3,"California, Illinois, Ohio",ALL,7 Years,17 Years,"Anxiety, Separation, Anxiety, Generalized, Anxiety, Social",Inclusion Criteria 1. Ages 7-17 years (inclusive at time of consent/assent) 2. Primary Diagnostic and Statistical Manual...
NCT06605105,Phase III Long-term Extension Trial to Assess Safety and Efficacy of CYB003 in MDD (EXTEND),ENROLLING_BY_INVITATION,PHASE3,468,ESTIMATED,33,"Arizona, California, Colorado, Florida, Georgia, Illinois, Maryland, Massachusetts, Nevada, New South Wales, New York, Ohio, Queensland, Tennessee, Texas, Utah, Victoria",ALL,18 Years,85 Years,Major Depressive Disorder,Inclusion Criteria: Has successfully completed either CYB003-002 APPROACH or CYB003-003 EMBRACE and received both dose a...
NCT06778785,Game-Based Digital Intervention for Depression in Adolescents,ACTIVE_NOT_RECRUITING,NA,450,ACTUAL,1,Sichuang,ALL,10 Years,18 Years,"Depression, Anxiety",Inclusion Criteria: The Mini International Neuropsychiatric Interview for Children and Adolescents (MINI-KID) will be us...
NCT06715852,Moving on! A Tailored Treatment in a Primary Care Setting for Individuals With Anxiety Disorders?,RECRUITING,NA,450,ESTIMATED,1,No US/listed site,ALL,18 Years,65 Years,Anxiety,"Inclusion Criteria: Clinical diagnosis of anxiety disorder (panic syndrome, 41.0; generalized anxiety, F41.1; mixed anxi..."
NCT07080489,Exploring the Role of the Prefrontal Cortex in Decision-Making,RECRUITING,NA,444,ESTIMATED,1,No US/listed site,ALL,20 Years,75 Years,"Depressive Disorder, Major Depressive Disorder, Healthy Volunteer, Aging",Inclusion Criteria (Healthy): Written Informed Consent Age between 20-40 or 60-75 years Fluent in German Normal or corre...
NCT07201844,The Effect of Patient Preference for Treatment Model in Internet Delivered Cognitive Behavior Therapy for Generalized Anxiety Disorder,RECRUITING,NA,440,ESTIMATED,1,Sverige,ALL,18 Years,No upper limit,Generalized Anxiety Disorder (GAD),"Inclusion Criteria: 18 years or older. Meet diagnostic criteria for GAD according to DSM-5, as assessed by a psychologis..."
NCT07138664,Promoting Mental Health Among At-risk Adolescents in Malaysia,RECRUITING,NA,428,ESTIMATED,5,"Sabah, Sarawak, Selangor",ALL,12 Years,14 Years,"Depression in Adolescence, Anxiety","Inclusion Criteria: 1. Adolescent (aged 12-14) who are in the first two years (Form 1 and Form 2, equivalent to year 7 a..."
NCT06755710,Patient Engagement in PTSD Treatment (PEP),RECRUITING,NA,427,ESTIMATED,1,Capital Region,ALL,18 Years,No upper limit,"PTSD, Depression Disorders, Patient Engagement",In- and exclusion criteria of the randomised controlled trial for Psychotherapeutic Unit Inclusion Criteria: Adults (18 ...
NCT05746767,Supporting Peer Interactions to Expand Access to Digital Cognitive Behavioral Therapy for Spanish-speaking Patients,ENROLLING_BY_INVITATION,NA,426,ESTIMATED,11,"Arizona, California, New Mexico",ALL,18 Years,No upper limit,"Depression, Anxiety","Inclusion Criteria: 1. PHQ-9 ≥ 10 or GAD-7 ≥ 8 2. Has access to the Internet via smartphone and/or broadband at home, an..."
NCT05973786,The Effect of a Six Week Intensified Pharmacological Treatment for Bipolar Depression Compared to Treatment as Usual in Subjects Who Had a First-time Treatment Failure on Their First-line Treatment.,RECRUITING,PHASE3,418,ESTIMATED,13,No US/listed site,ALL,18 Years,No upper limit,Bipolar Depression,"Inclusion criteria: 1. In- or out patients, at least 18 years of age. 2. Being willing and able to provide written infor..."
NCT04838210,"Elevating Voices, Addressing Depression, Toxic Stress and Equity in Group Prenatal Care",ACTIVE_NOT_RECRUITING,NA,416,ACTUAL,4,Missouri,FEMALE,13 Years,No upper limit,"Pregnancy Related, Perinatal Depression",Inclusion Criteria: English or Spanish speaking ≤18 weeks' gestation Established prenatal care at EleVATE site High-risk...
NCT05124639,Clinical Trial of a Group Self-management Support Program for Anxiety Disorders,ACTIVE_NOT_RECRUITING,NA,414,ACTUAL,1,Quebec,ALL,18 Years,No upper limit,"Panic Disorder, Agoraphobia, Social Anxiety Disorder, Generalized Anxiety Disorder","Inclusion Criteria: (1) aged 18 and over, (2) fluent in spoken and written French, (3) presence of symptoms of anxiety d..."
NCT06243614,Phase Ⅲ Clinical Trial of Buagafuran Capsules in the Treatment of GAD,RECRUITING,PHASE3,410,ESTIMATED,1,Beijing Municipality,ALL,18 Years,65 Years,Generalized Anxiety Disorder,"Inclusion Criteria: 1. Outpatients aged 18-65 years old, of both sexes; 2. Met the diagnostic and Statistical Manual of ..."
NCT06257095,Improving Adult Protective Services Client Outcomes: A Stepped-Care Social and Mental Health Engagement Program,RECRUITING,NA,400,ESTIMATED,1,Texas,ALL,65 Years,No upper limit,Depression in Old Age,Inclusion Criteria: Older Adults an APS validated EM/SN case able to provide informed consent able to speaks English or ...
NCT05849493,Effects and Mechanisms of Change of Internet Delivered Cognitive Behavior Therapy for Generalized Anxiety Disorder,ACTIVE_NOT_RECRUITING,NA,400,ESTIMATED,1,Huddinge,ALL,18 Years,No upper limit,Generalized Anxiety Disorder,"Inclusion criteria: 18 years or older. Meet diagnostic criteria for GAD according to DSM-5, as assessed by a psychologis..."
NCT07074795,Use of Nitrous Oxide During Office Hysteroscopy,ACTIVE_NOT_RECRUITING,NA,400,ESTIMATED,1,No US/listed site,FEMALE,18 Years,No upper limit,"Abnormal Uterine Bleeding, Postmenopausal Bleeding, Endometrial Polyps, Retained Products of Conception, Uterine Fibroids, Intrauterine Adhesions",Inclusion Criteria: Women aged ≥18 years Scheduled to undergo operative office hysteroscopy for clinical indications Exc...
NCT06455397,Building Emotional Awareness and Mental Health (BEAM) 2024-2027,RECRUITING,NA,400,ESTIMATED,1,Manitoba,ALL,18 Years,No upper limit,"Depression, Anxiety, Anger, Parenting, Stress, Psychological, Parent-Child Relations, Child Development","Inclusion Criteria: 1. Moderate to severe symptoms of depression, anxiety, parenting stress, and/or anger (as measured b..."
NCT06318962,Examining the Efficacy of a Digital Therapeutic to Prevent Suicidal Behaviors,RECRUITING,NA,400,ESTIMATED,1,Colorado,ALL,18 Years,No upper limit,"Suicidal Behaviors, Suicide Ideation, Depression/Anxiety",Inclusion Criteria: at least 18 years old suicidal ideation within the past week and/or a suicide attempt within the pas...
NCT07094503,Adolescent Chatbot,RECRUITING,PHASE2,400,ESTIMATED,1,Missouri,ALL,13 Years,19 Years,"Body Image Disturbance, Disordered Eating Behaviors, Eating Disorder Prevention",Inclusion Criteria 1. 13 - 19 years old 2. Owns a smartphone 3. Speaks English 4. US resident 5. Screens as at-risk for ...
NCT06005961,Module-Based Psychological (MBP) for Community Youths,ACTIVE_NOT_RECRUITING,NA,400,ESTIMATED,1,No US/listed site,ALL,12 Years,30 Years,"Mental Disorder, Depressive Symptoms, Anxiety Symptoms",Inclusion Criteria: 1. LevelMind@JC users aged from 12-30 2. Reported at-least mild mental distress 3. Have sufficient p...
NCT04845542,Promoting Resilience in Stroke Survivor-carepartner Dyads (ReStoreD),ACTIVE_NOT_RECRUITING,NA,400,ESTIMATED,1,Utah,ALL,18 Years,No upper limit,"Stroke, Depression, Anxiety, Coping Skills, Couples",Inclusion Criteria: Community-dwelling cohabitating couple where one partner has a had an ischemic or hemorrhagic stroke...
