nct_id,title,status,phase,enrollment_target,enrollment_type,n_sites,states,sex,min_age,max_age,conditions,eligibility_snippet
NCT07648654,"A Study Comparing the Hall Technique and Conventional Stainless-Steel Crowns in Carious Primary Molars : Clinical Outcomes, Anxiety, Time, and Cost-Effectiveness",RECRUITING,NA,200,ESTIMATED,1,No US/listed site,ALL,5 Years,8 Years,Hall Technique,Inclusion Criteria: Only patients aged between 5-8 years old will be included in the study. The following criteria is us...
NCT06576076,"Cannabis, Linked Emotions, and Adolescent Risk Study",RECRUITING,NA,200,ESTIMATED,1,Massachusetts,ALL,12 Years,18 Years,"Cannabis Use, Depression, Suicidal Ideation, Adolescent Behavior","Inclusion Criteria: Ages 12-18; Current daily or near daily cannabis use (i.e., use ≥ 4 days per week on average; Timeli..."
NCT07252947,Stress and Anxiety Effects on Valuation,RECRUITING,NA,200,ESTIMATED,1,New York,ALL,18 Years,65 Years,Reward Value Level,"Inclusion Criteria: Aims 1-3: To be eligible for participation in this study, an individual must meet all of the followi..."
NCT07480525,Efficacy and Mechanisms of Escitalopram in Drug-Naïve First-Episode Major Depressive Disorder,RECRUITING,NA,200,ESTIMATED,5,"Beijing Municipality, Hebei, Liaoning, Shandong",ALL,18 Years,65 Years,Depression - Major Depressive Disorder,"Inclusion Criteria: 1. Aged 18-65 years (including 18 and 65), no gender restriction, Han Chinese ethnicity. 2. Meets th..."
NCT07064551,Evaluation Study of Medical-Social Collaboration Model for Middle-aged and Older Adults With Depressive Symptoms,RECRUITING,NA,192,ESTIMATED,1,No US/listed site,ALL,45 Years,No upper limit,Depression,Inclusion Criteria: Currently awaiting psychiatric services provided by the Hospital Authority Have depressive symptoms ...
NCT06035211,Effect on Pre-operative Anxiety of a Personalized Three-dimensional Kidney Model Prior to Nephron-sparing Surgery- Rein 3D Anxiety,RECRUITING,NA,192,ESTIMATED,6,No US/listed site,ALL,18 Years,No upper limit,Tumoral Kidney,Inclusion Criteria: Adult patients (≥ 18 years of age) Scheduled surgical management by laparoscopic partial nephrectomy...
NCT06816186,The Impact of Multimedia Childbirth Prediction on Parturients and Their Spouses,RECRUITING,NA,190,ESTIMATED,1,Hsinchu,ALL,20 Years,No upper limit,Multimedia,"1. Low-risk first-time mothers over 20 years old and their spouses 2. Pregnancy >37 weeks, pregnancy <40 weeks 3. Single..."
NCT05474846,Combination Therapy for Treatment of Sleep Disturbance in Patients With Advanced Cancer,RECRUITING,"PHASE2, PHASE3",188,ESTIMATED,1,Texas,ALL,18 Years,No upper limit,"Sleep, Fatigue, Anxiety, Cancer, Depression","Inclusion Criteria: 1. presence of poor sleep quality, defined as Pittsburgh Sleep Quality Index (PSQI) total score ≥ 5,..."
NCT03903510,Virtual Reality During Pediatric Cast Removal,RECRUITING,NA,184,ESTIMATED,1,Minnesota,ALL,4 Years,12 Years,"Fractures, Bone",Inclusion Criteria: Sustained a fracture in their arm/leg No previous experience with a cast removal Must have at least ...
NCT06725160,Parent Encouragement And Coaching of Happiness in Youth,RECRUITING,NA,180,ESTIMATED,1,Pennsylvania,ALL,4 Years,99 Years,"Depression, Parent-Child Relations","Inclusion Criteria for Mothers: Birth mother (biologically female, any gender) Providing regular care for participating ..."
NCT05591677,D-Cycloserine Augmentation of Intermittent Theta Burst Stimulation (iTBS) in Depression (COGENT),ACTIVE_NOT_RECRUITING,PHASE2,180,ESTIMATED,1,Victoria,ALL,18 Years,No upper limit,Major Depressive Disorder,"Inclusion Criteria: Diagnosis of major depressive episode (MDE), in accordance with the Diagnostic and Statistical Manua..."
NCT04751331,Neural Response to Inflammatory Challenge in Major Depressive Disorder,RECRUITING,"PHASE1, PHASE2",180,ESTIMATED,1,Oklahoma,ALL,18 Years,65 Years,Major Depressive Disorder,Inclusion Criteria: Both healthy controls and depressed participants will be required to be in good general health (as e...
NCT07636694,Effects of Concurrent and Consecutive Repetitive Transcranial Magnetic Stimulation (rTMS) and Cognitive Bias Modification (CBM),RECRUITING,NA,180,ESTIMATED,1,Hong Kong Island,ALL,,No upper limit,Depression - Major Depressive Disorder,Inclusion Criteria: Aged 18 years or above Right-handed Normal or corrected hearing and vision Obtained primary educatio...
NCT06659315,Prevention of Mother-to-child Transmission (PMTCT) Among Women Experiencing Depression in Malawi,RECRUITING,NA,180,ESTIMATED,1,No US/listed site,ALL,18 Years,No upper limit,"HIV Antiretroviral Therapy (ART) Adherence, Perinatal Mental Health, Depression During Pregnancy, PMTCT",Inclusion Criteria: In a marriage or cohabitating union for at least 6 months. One member of the couple is a woman in th...
NCT06839859,Family Acceptance Project Online (Pilot RCT),RECRUITING,PHASE2,180,ESTIMATED,1,Michigan,ALL,14 Years,No upper limit,"LGBTQ, Racial Disparities, Family Relationships, Minority Stress, Depression, Anxiety, Drug Use, Teen Dating Violence, Sexual Risk Reduction",Inclusion Criteria (youth): 1. Identify as a sexual/gender minority (including youth questioning their sexual orientatio...
NCT06091527,Treating Major Depression With Yoga Mono-therapy,RECRUITING,NA,180,ESTIMATED,1,California,ALL,18 Years,No upper limit,"Depression Mild, Depression Moderate","Inclusion criteria: 18 years of age or older Able to give voluntary, informed consent English-speaking Diagnosis of clin..."
NCT05149742,Deafness and Cognition in Middle-aged Adults,RECRUITING,NA,180,ESTIMATED,1,No US/listed site,ALL,45 Years,64 Years,Mild Cognitive Impairment in Middle-aged Adults,Inclusion Criteria: Cases: Patients aged between 45 to 64 years with severe to profound bilateral post-lingual sensorine...
NCT06977178,Adverse Adolescent Pathways to Substance Use,RECRUITING,NA,180,ESTIMATED,1,North Carolina,ALL,12 Years,14 Years,"Anxiety, Adolescent Development, Substance Use","Inclusion Criteria: Male or female 12-14 years old, Report symptoms of anxiety Understand and sign an assent, and parent..."
NCT07132905,Mpata Yathu Trial for Young Women in Zambia,ACTIVE_NOT_RECRUITING,NA,180,ESTIMATED,2,No US/listed site,FEMALE,15 Years,24 Years,"HIV, Common Mental Health Problems, PTSD - Post Traumatic Stress Disorder, Depression Disorder, Anxiety","Inclusion Criteria: To be eligible for enrollment in the RCT, participants must meet the following criteria: 1. aged 15 ..."
NCT04765800,Differential Efficacy of Guided Imagery Psychotherapy: Non-Inferiority Trial and Exploration of Differential Indication,ACTIVE_NOT_RECRUITING,NA,180,ESTIMATED,1,Hesse,ALL,18 Years,70 Years,Emotional Disorders,"Inclusion Criteria: depressive disorder, anxiety disorder or somatic symptom disorder (with comorbid depressive or anxie..."
NCT05434130,Modulating Exercise Dosage to Improve Concussion Recovery,RECRUITING,"PHASE1, PHASE2",178,ESTIMATED,3,"Colorado, Massachusetts",ALL,13 Years,18 Years,"Concussion, Brain, Treatment, Aerobic Exercise, Inflammation, Depression, Anxiety",Inclusion Criteria: 13-18 years of age Post-Concussion Symptom Scale (PCSS) score >10 to ensure participants are not rec...
NCT06248710,Dog Presence and Oxytocin on Trust Towards Therapists,RECRUITING,"PHASE2, PHASE3",176,ESTIMATED,1,Canton of Basel-City,ALL,18 Years,No upper limit,"Depressive Symptoms, Human-Animal Interaction",Inclusion Criteria: Age ≥ 18 years Signed informed consent Exclusion Criteria: Pregnancy Being scared of dogs or dog hai...
NCT07660393,The Use of Virtual Reality Glasses in Women With Premature Rupture of Membranes,RECRUITING,NA,176,ESTIMATED,1,No US/listed site,FEMALE,18 Years,50 Years,"Fetal Health Anxiety, Prenatal Distress, Prenatal Attachment",Inclusion Criteria: Being 18 years of age or older Being nulliparous Having a diagnosis of preterm premature rupture of ...
NCT06232304,Transforming Care for Individuals With Childhood-onset Systemic Lupus Erythematosus,RECRUITING,NA,175,ESTIMATED,7,"Alabama, Louisiana, Michigan, New York, Ohio, Ontario, Washington",ALL,12 Years,22 Years,Systemic Lupus Erythematosus of Childhood (Disorder),"Inclusion Criteria: 1) be diagnosed with cSLE, meeting the revised American College of Rheumatology Classification Crite..."
NCT05269732,CBT for Postpartum Depression and Infant Emotion Regulation,ACTIVE_NOT_RECRUITING,NA,172,ESTIMATED,1,Ontario,FEMALE,18 Years,99 Years,Postpartum Depression,Inclusion Criteria: women 18 years of age or older understand and speak English (so that they can participate in the CBT...
NCT07203144,Selenium Supplementation for Improving Depression in Children and Adolescents: Efficacy and Mechanistic Study,RECRUITING,PHASE2,172,ESTIMATED,1,Chongqing Municipality,ALL,12 Years,18 Years,Depression - Major Depressive Disorder,Inclusion Criteria: Aged 12-18 years; Diagnosed with major depressive disorder according to the Diagnostic and Statistic...
NCT07354334,Effect of Listening to Surah Al-Inshirah (The Opening-Up of the Heart) After Cesarean Birth on Postpartum Outcomes,ENROLLING_BY_INVITATION,NA,172,ESTIMATED,1,Selçuklu,FEMALE,18 Years,45 Years,"Postpartum Depression, Maternal-Fetal Relations, Spirituality",Inclusion Criteria: Being literate Able to speak and understand Turkish Aged 18 years or older Primiparous women Having ...
NCT06597448,Public Health Nurse-Peer Co-Led Group Cognitive Behavioral Therapy for Postpartum Depression,ACTIVE_NOT_RECRUITING,NA,170,ESTIMATED,1,Ontario,FEMALE,18 Years,No upper limit,Postpartum Depression,"Inclusion Criteria: Mothers or birthing parents, 18 years old, have an infant under 12 months of age at recruitment, flu..."
NCT05579015,Predicting Illness Trajectories In Fully Remitted Major Depression Using Concurrent TBS/fNIRS,ACTIVE_NOT_RECRUITING,NA,170,ESTIMATED,1,No US/listed site,ALL,18 Years,60 Years,"Major Depression in Remission, Healthy",Inclusion Criteria: a clinical diagnosis of recurrent depressive disorder by an experienced psychiatrist but currently i...
NCT06913309,"Clinical Efficacy, Safety, and Applicability of Home-based Bright Light Therapy in Outpatient Adolescents With Major Depressive Disorder",RECRUITING,NA,168,ESTIMATED,3,"Beijing Municipality, Shanxi",ALL,13 Years,17 Years,"Depressive Disorder, Major",The inclusion and exclusion criteria for MDD patients： 1. inclusion criteria Meeting DSM-IV diagnostic criteria for a ma...
NCT07232823,Brief Culturally Adapted CBT for OCD,RECRUITING,NA,166,ESTIMATED,1,Punjab Province,ALL,18 Years,65 Years,"Obsessive-Compulsive Disorder, Cognitive Behavioral Therapy",Inclusion Criteria: Participants aged 18 years or above Participants with at least an elementary level of reading and wr...
NCT06004115,Processes and Circuitry Underlying Threat Sensitivity as a Treatment Target for Co-morbid Anxiety and Depression,RECRUITING,PHASE4,165,ESTIMATED,1,Oklahoma,ALL,18 Years,65 Years,"Depression, Anxiety, Fear, Depression, Anxiety and Fear, Anxiety Disorders, Anxious Depression",An individual must meet the following criteria to be considered eligible to participate in the study: Inclusion Criteria...
NCT06298279,Assessing Social Learning and Course Delivery Timing in Internet-delivered Cognitive Behaviour Therapy for Public Safety Personnel,RECRUITING,NA,164,ESTIMATED,1,Saskatchewan,ALL,18 Years,No upper limit,"Depression, Anxiety, Stress Disorders, Post-Traumatic",Inclusion Criteria: At least 18 years of age Current or former public safety personnel (or public safety personnel train...
NCT05543681,Clinical Trial on Agitation in Alzheimer's Dementia,RECRUITING,PHASE2,164,ESTIMATED,31,"Antioquia, Bayamón, British Columbia, Florida, Louisiana, Maryland, Missouri, New York, Oklahoma, Ontario, Quebec, Rhode Island, Texas, Virginia",ALL,60 Years,No upper limit,"Alzheimer Disease, Agitation,Psychomotor, Care Giving Burden, NPS, Aggression","To be eligible to participate in this study, the participant must meet all the following criteria: Inclusion Criteria 1...."
NCT06103760,Positioning of Esketamine Treatment in the Real-world Management of Depression,RECRUITING,PHASE4,162,ESTIMATED,1,New South Wales,ALL,18 Years,65 Years,Major Depressive Disorder,Inclusion Criteria: 1. Adults aged 18-65 years old 2. Diagnosis of Major Depressive Disorder (MDD) 3. Currently depresse...
NCT06278779,Comparative Effectiveness Study of Two Forms of Ketamine for Treatment-resistant Depression,RECRUITING,PHASE4,162,ESTIMATED,7,"New South Wales, Queensland, Victoria",ALL,18 Years,No upper limit,Treatment Resistant Depression,Inclusion Criteria: Adult with treatment-resistant depression (TRD: not responded adequately to at least two different a...
NCT07477990,Clinical Trial to Evaluate the Efficacy and Safety of the Aurora® Digital Medical Device in Adult Patients With Moderate to Severe Generalized Anxiety Disorder,RECRUITING,PHASE3,162,ESTIMATED,1,Mexico City,ALL,18 Years,65 Years,General Anxiety Disorder,Inclusion Criteria: Men and women aged ≥18 and ≤65 years. Diagnosis of generalized anxiety disorder (GAD) based on DSM-5...
NCT07232472,Wearable-Based Study of Depression and Sleep in Older Adults,ENROLLING_BY_INVITATION,NA,162,ESTIMATED,1,Alabama,ALL,60 Years,No upper limit,"Elderly Depression, Sleep Disturbance","Inclusion Criteria: 1. Subjects must meet the Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition (DSM-..."
NCT06263738,Cold and Heat Investigation to Lower Levels of Depression,RECRUITING,NA,162,ESTIMATED,1,Colorado,ALL,18 Years,65 Years,"Depression, Mood Disorders, Healthy (Controls)",Inclusion Criteria: Individuals who currently meet study criteria for depression or individuals who do not currently mee...
NCT07404085,Epigenetic Enhancement of Cognitive Training in Aging Mood Disorder Populations,RECRUITING,NA,160,ESTIMATED,1,Capital Region of Denmark,ALL,40 Years,75 Years,"Bipolar Disorder (BD), Depression - Major Depressive Disorder, Cognitive Impairment","Inclusion Criteria: Confirmed ICD-10 diagnosis of BD or recurrent UD in partial, or full remission (Hamilton Depression ..."
NCT06250816,The Effects of Wearing Operation Gown With Cartoon Characters on Reducing Preoperative Anxiety in Children: Randomized Controlled Study,RECRUITING,NA,160,ESTIMATED,1,No US/listed site,ALL,4 Years,12 Years,"Anxiety, Preoperative",Inclusion Criteria: Patients who are planned to have elective orthopedic surgery Patients whose American Society of Anes...
NCT06415838,Behavioral Activation for the Prevention and Treatment of Depression in Older Adults in a Municipal Context,RECRUITING,NA,160,ESTIMATED,1,Sörmland,ALL,65 Years,No upper limit,"Depression, Depressive Symptoms","Inclusion Criteria: 65 years or older 5 points or above on the Geriatric Depression Scale 15, GDS-15 Fluent in written a..."
NCT07692269,Mindfulness Intervention for Emotional Distress: An EEG Study,RECRUITING,NA,160,ESTIMATED,1,Beijing Municipality,ALL,18 Years,50 Years,"Emotional Distress, Anxiety, Depression, Stress (Psychology), Psychological",Inclusion Criteria: Adults aged 18-50 years Kessler Psychological Distress Scale (K10) score > 21 No systematic mindfuln...
NCT05625360,REmotely-delivered Supportive Programs for Improving Surgical Pain and disTrEss,ACTIVE_NOT_RECRUITING,PHASE3,160,ACTUAL,2,North Carolina,FEMALE,18 Years,No upper limit,"Postoperative Pain, Acute, Postoperative Depression, Anxiety, Sleep Disturbance, Malignant Female Reproductive System Neoplasm","Inclusion Criteria: In order to be eligible to participate in this study, an individual must meet all of the following c..."
NCT06818734,Implementation of a Clinical Decision Support Tool for Postpartum Depression,RECRUITING,NA,160,ESTIMATED,4,New York,FEMALE,18 Years,No upper limit,Postpartum Depression,Inclusion Criteria: 18 years or older being seen at one of participating clinics pregnancy at 20 week gestation or more ...
NCT07464886,Prefrontal Glutamatergic Modulation by NAC and MBCT for Depression in Youth,RECRUITING,PHASE3,160,ESTIMATED,1,Ohio,ALL,15 Years,24 Years,Mild Depression,"Inclusion Criteria: 1. age between 15 years, 0 months to 24 years, 11 months old; 2. presenting with mild depression, de..."
NCT07021508,Efficacy and Safety Assessment of Temporal Interference Stimulation to Improve Bipolar Depression,RECRUITING,NA,160,ESTIMATED,1,Zhejiang,ALL,18 Years,45 Years,Bipolar Depression,"Inclusion Criteria: right-handed, and have completed nine years of compulsory education; Meet the diagnostic criteria fo..."
NCT07345377,Study on Treatment Mechanisms and Efficacy Prediction of Individualized Transcranial Magnetic Stimulation in Adults With Irritable Bowel Syndrome Using Multimodal MRI and High-Throughput Sequencing,ENROLLING_BY_INVITATION,NA,160,ESTIMATED,1,Zhejiang,ALL,18 Years,75 Years,"Irritable Bowel Syndrome (IBS), Pain, Depressive Disorder, Major, Moderate",Inclusion Criteria: Meets the Rome IV diagnostic criteria for Irritable Bowel Syndrome (IBS); Has discontinued IBS-relat...
NCT07369544,The Effect of Preoperative Hugging With Family Members on Preoperative Anxiety Levels and Postoperative Pain,ACTIVE_NOT_RECRUITING,NA,160,ESTIMATED,1,No US/listed site,ALL,18 Years,75 Years,"Postoperative Pain Management, Anxiety, Non-Pharmacological Interventions",Inclusion Criteria: 18-75 years of age ASA 1 and ASA-2 patients Exclusion Criteria: emergency surgery malignancy surgery...
NCT05633901,Impact of Preop Video on Patient Anxiety,ACTIVE_NOT_RECRUITING,NA,160,ESTIMATED,2,Ohio,FEMALE,18 Years,No upper limit,"Prolapse, Vaginal, Prolapse, Uterine, Prolapse; Female","Inclusion Criteria: Prolapse surgery may include: apical repair with uterosacral ligament suspension, or sacrospinous/il..."
NCT07203534,ONC-MM-2407: The Effect of Virtual Reality Headsets on Pain and Anxiety in the Peri and Post Bone Marrow Biopsy Period,RECRUITING,NA,160,ESTIMATED,1,North Carolina,ALL,18 Years,No upper limit,Hematologic Malignancy,Inclusion Criteria: 1. Ability to understand and willingness to sign an IRB-approved informed consent directly. 2. Must ...
NCT06794034,"Efficacy of taVNS Versus Sham Stimulation in Reduing Depressive Symptoms in Patients With Epilepsy: a Multi-center, Double-blinded, Randomized, 20-week, Parallel-arm, Superiority Study",ACTIVE_NOT_RECRUITING,NA,158,ESTIMATED,5,Zhejiang,ALL,18 Years,No upper limit,Depressive Symptoms in Patients With Epilepsy,Inclusion Criteria: Adults age ≥18 Confirmed diagnosis of epilepsy (based on 2014 definition by ILAE) Having comorbidity...
NCT07201909,"CALM Study: Can A Prebiotic Fibre bLend Improve Stress, Mood, and Anxiety?",RECRUITING,NA,156,ESTIMATED,1,No US/listed site,ALL,18 Years,50 Years,Stress,Inclusion Criteria: Aged 18-50 years of age Capacity to give informed consent to participate in the study Able to comply...
NCT07284667,ACP-211 Monotherapy for Major Depressive Disorder With Inadequate Antidepressant Response,RECRUITING,PHASE2,153,ESTIMATED,26,"Alabama, California, Colorado, Florida, Massachusetts, Mississippi, Missouri, Nebraska, Nevada, New Jersey, New York, North Carolina, Ohio, Texas",ALL,18 Years,65 Years,"Major Depressive Disorder (MDD), Depressive Disorder, Treatment-Resistant",Inclusion Criteria: Adults ≥18 and ≤65 years of age Provides written informed consent Clinical diagnosis of MDD History ...
NCT07388004,Group Therapy for Major Depression: Comparing Expectation-Focused and Reward-Focused Psychotherapy Approaches,RECRUITING,NA,150,ESTIMATED,1,Hesse,ALL,18 Years,80 Years,Major Depressive Disorder (MDD),"Inclusion Criteria: Age: 18-80 years Current diagnosis of major depressive disorder (MDD) according to DSM-5, confirmed ..."
NCT04221997,"Trial With the Treatment of Sertraline in Youth With Generalized, Separation and/or Social Anxiety Disorders.",RECRUITING,PHASE4,150,ESTIMATED,1,Ohio,ALL,8 Years,17 Years,Anxiety Disorders,"Inclusion Criteria for Patients with Anxiety : Written, informed assent and consent. Patients, parent/guardian/LAR must ..."
NCT05254015,Cognitive Rehabilitation and Exposure Therapy for Geriatric Hoarding,ENROLLING_BY_INVITATION,NA,150,ESTIMATED,1,California,ALL,50 Years,No upper limit,"Hoarding Disorder, Obsessive-Compulsive Disorder",Inclusion Criteria: adults age 50 and older voluntary informed consent for participation DSM-5 diagnosis of HD HD as a p...
NCT06917300,Virtual Reality as a Digital Premed to Alleviate Pain and Anxiety Preoperatively in Patients Undergoing Spine Surgery,RECRUITING,NA,150,ESTIMATED,1,Łódź Voivodeship,ALL,25 Years,70 Years,"Anxiety and Fear, Pain, Postoperative, Stress","Inclusion Criteria: Adult patients between 25-70 years old, undergoing an elective spinal surgery. Patient's admission p..."
NCT06600113,Effect of Educational Intervention on Children's Anxiety,RECRUITING,NA,150,ESTIMATED,1,No US/listed site,ALL,4 Years,8 Years,"Health Literacy, Anesthesia, Anxiety, Fear, Attitude, Child Behavior, Health Knowledge, Attitudes, Practice",Inclusion Criteria: Undergoing anesthesia for medical procedure Exclusion Criteria: Does not understand Icelandic/Finnis...
NCT07226128,The Effects of Cognitive Behavioral Therapy on Insulin Resistance in People With HIV,RECRUITING,NA,150,ESTIMATED,1,Indiana,ALL,18 Years,No upper limit,"HIV, Depression in Adults, Insulin Resistance, Cognitive Behavior Therapy","Inclusion Criteria: HIV-1 infection, documented as listed clinically in the participant's electronic medical record by a..."
NCT06506435,Radiotherapy Patient Education With Virtual Reality,RECRUITING,NA,150,ESTIMATED,1,Florida,ALL,18 Years,No upper limit,"Anxiety, Cancer",Inclusion Criteria: 1. Histologically proven cancer 2. ≥18 years of age 3. Able to speak and read English and/or Spanish...
NCT07494955,"""Effect of Pre-Spinal Mindfulness-Based Breathing Exercise on Hemodynamic Response in Elective Cesarean Section""",RECRUITING,NA,150,ESTIMATED,1,No US/listed site,FEMALE,18 Years,45 Years,"Hypotension, Cesarean Section, Hemodynamic Instability, Anxiety, Anticipatory",Inclusion Criteria: Pregnant women aged 18-45 years Singleton pregnancy Gestational age 37 weeks or greater American Soc...
NCT05691439,Mechanisms of Depression and Anhedonia in Adolescents: Linking Sleep to Reward- and Stress-Related Brain Function,RECRUITING,NA,150,ESTIMATED,1,Oregon,ALL,14 Years,18 Years,Depression in Adolescence,Inclusion Criteria: 1. 14-18 years of age 2. Currently in high school 3. short and late sleep (weekday sleep duration ≤ ...
NCT03677947,Inference-Based Cognitive Therapy Versus Exposure and Response Prevention for Obsessive-Compulsive Disorder,ACTIVE_NOT_RECRUITING,NA,150,ESTIMATED,1,Quebec,ALL,18 Years,No upper limit,"Obsessive-compulsive Disorders and Symptoms, Obsessive-Compulsive Disorder","Inclusion Criteria: a primary diagnosis of OCD according to Diagnostical and Statistical Manual, version 5 criteria; no ..."
NCT05940324,Examining Mu Opioid Mechanisms of Ketamine's Rapid Effects in OCD (MKET2),RECRUITING,PHASE2,150,ESTIMATED,1,California,ALL,18 Years,65 Years,Obsessive-Compulsive Disorder,Eligibility Criteria for Participants with OCD: Inclusion Criteria: Ages 18-65 Meet the criteria for OCD diagnosis Faile...
NCT07372586,Behavioral Health Collaborative Care Model in an ICU Recovery Clinic,RECRUITING,NA,150,ESTIMATED,1,South Carolina,ALL,18 Years,No upper limit,"PICS, Anxiety, Depression - Major Depressive Disorder, Post-Traumatic Stress, PTSD, Critical Illness Recovery, Critical Illness, Collaborative Care, Behavioral Health Concerns",Inclusion Criteria: - Attendance at the MUSC ICU Recovery Clinic within 180 days of discharge from the hospital Exclusio...
NCT07214597,NICU Utilization of Remote Voice Technology to Improve mateRnal Experience (NURTURE),RECRUITING,NA,150,ESTIMATED,1,Tennessee,FEMALE,18 Years,No upper limit,"Postpartum Depression (PPD), Self-Efficacy, Parental Anxiety, Engagement, Patient, Usability, Length of Stay",Inclusion Criteria: 1. Infant: 1. Admitted to the neonatal intensive care unit (NICU) 2. Not readmitted after discharge ...
NCT04751864,Brain Stimulation & Generalized Anxiety Study,ACTIVE_NOT_RECRUITING,PHASE4,150,ESTIMATED,1,New York,ALL,21 Years,No upper limit,"Anxiety, Generalized Anxiety Disorder, Generalized Anxiety",Inclusion Criteria: Age greater than 21 US resident Can receive packages to their home via UPS/Fedex/USPS Licensed Physi...
NCT07126860,"The Effect of a Structured Strength and Endurance Training Program on Quality of Life, Fitness, Blood Parameters and Survival in Prostate Cancer Patients",ACTIVE_NOT_RECRUITING,NA,150,ESTIMATED,1,Bavaria,MALE,18 Years,No upper limit,"Prostate Cancer, Metastatic Prostate Cancer, Prostate Cancer (Post Prostatectomy), Prostate Cancer Patients Treated by Radiotherapy, Prostate Cancer Non-Metastatic",Inclusion Criteria: 1. Participant must have a histologically diagnosed adenocarcinoma of the prostate 2. Participant ha...
NCT07118072,A Pilot Study to Examine the Efficacy of Internet-Delivered Skills Training in Affective and Interpersonal Regulation (i-STAIR) for Individuals With Adverse Childhood Experiences and Subsyndromal Depression,RECRUITING,NA,150,ESTIMATED,1,No US/listed site,ALL,21 Years,65 Years,Subthreshold Depression,"Inclusion Criteria: Exposed to mild, moderate or severe adverse childhood experiences (ACEs) Screened positive for subsy..."
NCT06595953,Gaze-Contingent Music Therapy Augmentation of CBT for Pediatric Anxiety,RECRUITING,PHASE2,150,ESTIMATED,1,Maryland,ALL,8 Years,17 Years,"Psychiatric Disorders, Anxiety Disorders","INCLUSION CRITERIA: In order to be eligible to participate in this study, an individual must meet all of the following c..."
NCT06097221,The Advance Project - Advancing Sleep Timing to Improve Depression,RECRUITING,NA,150,ESTIMATED,1,Frederiksberg,ALL,18 Years,No upper limit,Depression,Inclusion Criteria: Moderate to major depression (DSM-V) Discharge from psychiatric ward within last 30 days Sleep onset...
NCT05658796,RXWell to Decrease Post-Operative Opioid Use in Total Knee or Hip Arthroplasty,RECRUITING,NA,150,ESTIMATED,3,Pennsylvania,ALL,18 Years,100 Years,"Mood Disorders, Anxiety, Depressive Symptoms, Depression, Anxiety Disorders, Anxiety Depression",Inclusion Criteria for the RXWell Study: Adults >18 years Scheduled for elective primary total knee arthroplasty (TKA) o...
NCT04993742,Effects of Pregnancy-Specific Anxiety on Placental Inflammatory and Oxidative Stress Response and Birth Outcomes,ACTIVE_NOT_RECRUITING,NA,150,ESTIMATED,1,Texas,FEMALE,18 Years,No upper limit,"Placental Dysfunction, Prenatal Stress","Inclusion Criteria: All Active Duty and DoD beneficiary gravid women, 18 years of age or older, Receiving prenatal care ..."
NCT06460285,Intervention Trial for Healthcare Workers With Anxiety,ACTIVE_NOT_RECRUITING,NA,150,ESTIMATED,1,California,ALL,18 Years,No upper limit,Anxiety,Inclusion Criteria: 1. Must be able to provide written informed consent 2. > 18 years of age at Visit 3. Fluent in Engli...
NCT07737821,Improv Comedy to Reduce Anxiety and Improve Mental Well-Being in Young Chinese Adults in Hong Kong,RECRUITING,NA,150,ESTIMATED,1,No US/listed site,ALL,18 Years,29 Years,"Anxiety, Mental Health","Inclusion Criteria: Ethnic Chinese, fluent in spoken Mandarin and able to read Chinese Never married and without childre..."
NCT05398276,Behavioral Exposure for Introceptive Tolerance RCT,RECRUITING,NA,146,ESTIMATED,3,New Jersey,ALL,40 Years,No upper limit,"Exercise Sensitivity, Introceptive Exposure, Anxiety, Cardiac Rehabilitation",Inclusion Criteria: 1. ≥ 40 years of age 2. Elevated exercise anxiety (score of ≥ 30 on ESQ-18) 3. Low active (< 90 min ...
NCT07242105,Optimizing Brain Excitability in Depression,RECRUITING,NA,145,ESTIMATED,2,California,ALL,18 Years,65 Years,Major Depressive Disorder,"Inclusion Criteria: Men and women, ages 18 to 65 Diagnosis of major depressive disorder, assessed through a Structured C..."
NCT05569018,Efficacy of a Transdiagnostic Group Treatment for Emotional Disorders Applied in Blended Format: a Controlled Study.,RECRUITING,NA,144,ESTIMATED,1,Castellón,ALL,18 Years,No upper limit,"Anxiety Disorders, Depressive Disorders","Inclusion Criteria: Being 18 years old or more. DSM-5 (APA, 1013) diagnostic criteria for emotional disorder (panic diso..."
NCT06949293,"The Effect of Classical Hand Massage, Lavender Inhalation and Hand Massage With Lavender on Anxiety, Pain and Comfort",ACTIVE_NOT_RECRUITING,NA,144,ACTUAL,1,Kula,MALE,18 Years,No upper limit,"Cystoscopy, Aromatherapy, Hand Massage","Inclusion Criteria: 18 years of age or older, Being a man Having cystoscopy for the first time, Local anesthesia will be..."
NCT07465991,The Effect of Digital Cognitive Behavioural Therapy for Insomnia on Physical Activity in Fibromyalgia,RECRUITING,NA,142,ESTIMATED,2,No US/listed site,ALL,18 Years,No upper limit,Fibromyalgia,"Inclusion Criteria: Willing and able to provide informed consent for participation in the study Male or female, aged 18 ..."
NCT07151079,TAG TEAM - Trans Adolescent Group Therapy,RECRUITING,NA,142,ESTIMATED,1,Victoria,ALL,12 Years,17 Years,"Minority Stress, Acceptability, Psychological Distress, Anxiety, Depression in Adolescence, Coping, Wellbeing, Pride, Internalised Stigma, Community Connection",Participants will be enrolled into the RCT only if they meet all the inclusion criteria and none of the exclusion criter...
